caller_id,carrier,area_code,daily_limit,hourly_limit,meta_json
5551234567,Verizon,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
5551234568,AT&T,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
5551234569,T-Mobile,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
5551234570,Verizon,555,1000,100,"{""state"":""CA"",""type"":""landline""}"
5551234571,AT&T,555,1000,100,"{""state"":""CA"",""type"":""landline""}"
5551234572,T-Mobile,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
5551234573,Verizon,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
5551234574,AT&T,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
5551234575,T-Mobile,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
5551234576,Verizon,555,1000,100,"{""state"":""CA"",""type"":""landline""}"
5551234577,AT&T,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
5551234578,T-Mobile,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
5551234579,Verizon,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
5551234580,AT&T,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
5551234581,T-Mobile,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
5551234582,Verizon,555,1000,100,"{""state"":""CA"",""type"":""landline""}"
5551234583,AT&T,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
5551234584,T-Mobile,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
5551234585,Verizon,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
5551234586,AT&T,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
5551234587,T-Mobile,555,1000,100,"{""state"":""CA"",""type"":""mobile""}"
